rank,element,sample,x,y,density,velocity_x,velocity_y,pressure
0,0,polynomial,0.49014156081756483,0.14014156081756485,0.79539834457404501,-0.00085947526987718663,-0.019007597387112097,0.99742700784441629
0,0,polynomial,0.49735843918243516,0.14014156081756485,0.82268710804493228,-0.0009444084529462275,0.098431949947037981,1.0104890034262737
0,0,polynomial,0.49014156081756483,0.14735843918243516,0.79539834457404501,-0.0008594752698770562,-0.019007597387112218,0.99742700784441629
0,0,polynomial,0.49735843918243516,0.14735843918243516,0.82268710804493228,-0.00094440845294610292,0.098431949947037981,1.0104890034262737
0,0,center,0.49375000000000002,0.14375000000000002,0.80904272630948859,-0.00090265805397732324,0.040702476274361396,1.0045157650189485
0,1,polynomial,0.49014156081756483,0.15264156081756483,0.79539834457404501,-0.00085947526987702563,-0.019007597387112069,0.99742700784441629
0,1,polynomial,0.49735843918243516,0.15264156081756483,0.82268710804493228,-0.00094440845294613252,0.098431949947037981,1.0104890034262737
0,1,polynomial,0.49014156081756483,0.15985843918243517,0.79539834457404501,-0.00085947526987714793,-0.019007597387112246,0.99742700784441629
0,1,polynomial,0.49735843918243516,0.1598584391824352,0.82268710804493228,-0.00094440845294629331,0.098431949947037981,1.0104890034262737
0,1,center,0.49375000000000002,0.15625,0.80904272630948859,-0.0009026580539773305,0.040702476274361403,1.0045157650189485
0,2,polynomial,0.49014156081756483,0.16514156081756487,0.79539834457404501,-0.00085947526987711334,-0.019007597387112087,0.99742700784441629
0,2,polynomial,0.49735843918243516,0.16514156081756487,0.82268710804493228,-0.00094440845294624094,0.098431949947038022,1.0104890034262737
0,2,polynomial,0.49014156081756483,0.17235843918243515,0.79539834457404501,-0.00085947526987700514,-0.019007597387112229,0.99742700784441629
0,2,polynomial,0.49735843918243516,0.17235843918243518,0.82268710804493228,-0.00094440845294616494,0.098431949947037981,1.0104890034262737
0,2,center,0.49375000000000002,0.16875000000000001,0.80904272630948859,-0.00090265805397731185,0.04070247627436141,1.0045157650189485
0,3,polynomial,0.49014156081756483,0.17764156081756483,0.79539834457404501,-0.00085947526987698432,-0.019007597387112121,0.99742700784441629
0,3,polynomial,0.49735843918243516,0.17764156081756483,0.82268710804493228,-0.00094440845294615952,0.098431949947038008,1.0104890034262737
0,3,polynomial,0.49014156081756483,0.18485843918243516,0.79539834457404501,-0.0008594752698771051,-0.01900759738711225,0.99742700784441629
0,3,polynomial,0.49735843918243516,0.18485843918243516,0.82268710804493228,-0.00094440845294630458,0.098431949947037981,1.0104890034262737
0,3,center,0.49375000000000002,0.18124999999999999,0.80904272630948859,-0.00090265805397731933,0.040702476274361396,1.0045157650189485
0,4,polynomial,0.49014156081756483,0.8901415608175649,1.0021169162303305,0.7289435227277633,1.045847781020894e-16,1.0021769477141149
0,4,polynomial,0.49735843918243516,0.8901415608175649,0.9897282547937174,0.72416283588079078,2.6163945806722324e-18,0.99038467063406088
0,4,polynomial,0.49014156081756483,0.89735843918243519,1.0021169162303301,0.72894352272776275,-5.3250602535453244e-17,1.0021769477141145
0,4,polynomial,0.49735843918243516,0.89735843918243519,0.98972825479371707,0.72416283588079033,8.7580660484268206e-18,0.99038467063406099
0,4,center,0.49375000000000002,0.89374999999999993,0.99592258551202373,0.72656804650169826,1.5739293318537984e-17,0.99628194721893903
0,5,polynomial,0.49014156081756483,0.87764156081756495,1.0021169162303312,0.72894352272776441,9.7935936497586971e-18,1.0021769477141156
0,5,polynomial,0.49735843918243516,0.87764156081756495,0.98972825479371629,0.72416283588078934,1.1420096775221467e-16,0.9903846706340601
0,5,polynomial,0.49014156081756483,0.88485843918243512,1.0021169162303312,0.72894352272776453,1.9948283137498019e-17,1.0021769477141154
0,5,polynomial,0.49735843918243516,0.88485843918243523,0.98972825479371629,0.72416283588078956,-7.2352611685357067e-17,0.9903846706340601
0,5,center,0.49375000000000002,0.88125000000000009,0.99592258551202373,0.72656804650169848,1.7878733573545738e-17,0.99628194721893926
0,6,polynomial,0.49014156081756483,0.86514156081756499,1.0021169162303305,0.72894352272776375,-1.5507109634935228e-17,1.0021769477141149
0,6,polynomial,0.49735843918243516,0.86514156081756499,0.98972825479371662,0.72416283588079011,7.5469780163077837e-17,0.99038467063406066
0,6,polynomial,0.49014156081756483,0.87235843918243516,1.0021169162303307,0.72894352272776386,-1.3658181508829944e-17,1.0021769477141149
0,6,polynomial,0.49735843918243516,0.87235843918243527,0.98972825479371662,0.72416283588079,-3.4278722893288293e-18,0.99038467063406066
0,6,center,0.49375000000000002,0.86875000000000002,0.99592258551202362,0.72656804650169837,1.0561784806876845e-17,0.99628194721893926
0,7,polynomial,0.49014156081756483,0.85264156081756481,1.0021169162303305,0.7289435227277633,9.9683342115979641e-17,1.0021769477141149
0,7,polynomial,0.49735843918243516,0.85264156081756493,0.9897282547937174,0.72416283588079078,1.4753037948077044e-17,0.99038467063406088
0,7,polynomial,0.49014156081756483,0.85985843918243521,1.0021169162303301,0.72894352272776286,-7.4145343111847563e-17,1.0021769477141145
0,7,polynomial,0.49735843918243516,0.85985843918243532,0.98972825479371718,0.72416283588079033,-1.1137222993851141e-17,0.99038467063406088
0,7,center,0.49375000000000002,0.85624999999999996,0.99592258551202373,0.72656804650169848,7.322540792169075e-18,0.99628194721893892
0,8,polynomial,0.49014156081756483,0.84014156081756475,1.0021169162303309,0.72894352272776453,-1.774932536520857e-17,1.0021769477141156
0,8,polynomial,0.49735843918243516,0.84014156081756486,0.98972825479371629,0.72416283588078934,1.0225109433546106e-16,0.9903846706340601
0,8,polynomial,0.49014156081756483,0.84735843918243514,1.0021169162303312,0.72894352272776453,1.6189995875047896e-17,1.0021769477141154
